# ---------------------------------------------------------------------------------------------------------
# Threshold	Precision	Recall   	F1-measure	Classif-ER	Fls-Alarm-Prob	Miss-Prob   
# ---------------------------------------------------------------------------------------------------------
0.005 0.483 0.800 0.602 0.000 0.000 0.200 
0.006 0.495 0.797 0.610 0.000 0.000 0.203 
0.006 0.495 0.797 0.611 0.000 0.000 0.203 
0.006 0.497 0.797 0.612 0.000 0.000 0.203 
0.006 0.500 0.796 0.614 0.000 0.000 0.204 
0.007 0.513 0.794 0.624 0.000 0.000 0.206 
0.007 0.514 0.794 0.624 0.000 0.000 0.206 
0.007 0.516 0.793 0.626 0.000 0.000 0.207 
0.007 0.517 0.793 0.626 0.000 0.000 0.207 
0.007 0.519 0.793 0.628 0.000 0.000 0.207 
0.008 0.524 0.792 0.631 0.000 0.000 0.208 
0.008 0.525 0.792 0.631 0.000 0.000 0.208 
0.008 0.533 0.791 0.636 0.000 0.000 0.209 
0.009 0.541 0.789 0.642 0.000 0.000 0.211 
0.010 0.542 0.788 0.643 0.000 0.000 0.212 
0.010 0.547 0.787 0.646 0.000 0.000 0.213 
0.011 0.555 0.786 0.650 0.000 0.000 0.214 
0.011 0.555 0.786 0.651 0.000 0.000 0.214 
0.011 0.557 0.785 0.652 0.000 0.000 0.215 
0.011 0.558 0.785 0.652 0.000 0.000 0.215 
0.011 0.559 0.784 0.653 0.000 0.000 0.216 
0.012 0.560 0.784 0.653 0.000 0.000 0.216 
0.012 0.564 0.783 0.655 0.000 0.000 0.217 
0.013 0.573 0.781 0.661 0.000 0.000 0.219 
0.016 0.587 0.778 0.670 0.000 0.000 0.222 
0.017 0.593 0.777 0.672 0.000 0.000 0.223 
0.019 0.602 0.775 0.678 0.000 0.000 0.225 
0.019 0.603 0.775 0.678 0.000 0.000 0.225 
0.019 0.604 0.774 0.679 0.000 0.000 0.226 
0.022 0.616 0.771 0.685 0.000 0.000 0.229 
0.022 0.619 0.771 0.686 0.000 0.000 0.229 
0.025 0.630 0.768 0.692 0.000 0.000 0.232 
0.025 0.631 0.768 0.693 0.000 0.000 0.232 
0.026 0.634 0.768 0.694 0.000 0.000 0.232 
0.027 0.636 0.767 0.696 0.000 0.000 0.233 
0.027 0.637 0.767 0.696 0.000 0.000 0.233 
0.029 0.642 0.766 0.699 0.000 0.000 0.234 
0.030 0.645 0.766 0.700 0.000 0.000 0.234 
0.031 0.649 0.764 0.702 0.000 0.000 0.236 
0.032 0.650 0.764 0.703 0.000 0.000 0.236 
0.032 0.651 0.764 0.703 0.000 0.000 0.236 
0.033 0.654 0.763 0.704 0.000 0.000 0.237 
0.035 0.658 0.762 0.706 0.000 0.000 0.238 
0.035 0.659 0.762 0.707 0.000 0.000 0.238 
0.036 0.660 0.762 0.708 0.000 0.000 0.238 
0.038 0.665 0.760 0.709 0.000 0.000 0.240 
0.040 0.670 0.759 0.712 0.000 0.000 0.241 
0.042 0.674 0.758 0.714 0.000 0.000 0.242 
0.043 0.676 0.757 0.714 0.000 0.000 0.243 
0.044 0.677 0.756 0.715 0.000 0.000 0.244 
0.047 0.681 0.755 0.716 0.000 0.000 0.245 
0.047 0.683 0.755 0.717 0.000 0.000 0.245 
0.048 0.683 0.755 0.717 0.000 0.000 0.245 
0.048 0.683 0.754 0.717 0.000 0.000 0.246 
0.053 0.692 0.751 0.720 0.000 0.000 0.249 
0.060 0.700 0.749 0.723 0.000 0.000 0.251 
0.062 0.704 0.747 0.725 0.000 0.000 0.253 
0.064 0.705 0.747 0.726 0.000 0.000 0.253 
0.065 0.707 0.746 0.726 0.000 0.000 0.254 
0.071 0.713 0.744 0.729 0.000 0.000 0.256 
0.074 0.718 0.743 0.730 0.000 0.000 0.257 
0.077 0.721 0.742 0.732 0.000 0.000 0.258 
0.084 0.729 0.739 0.734 0.000 0.000 0.261 
0.095 0.736 0.736 0.736 0.000 0.000 0.264 
0.097 0.739 0.736 0.737 0.000 0.000 0.264 
0.099 0.740 0.735 0.738 0.000 0.000 0.265 
0.101 0.741 0.735 0.738 0.000 0.000 0.265 
0.103 0.743 0.734 0.738 0.000 0.000 0.266 
0.108 0.746 0.733 0.739 0.000 0.000 0.267 
0.109 0.746 0.733 0.740 0.000 0.000 0.267 
0.110 0.748 0.733 0.740 0.000 0.000 0.267 
0.113 0.750 0.732 0.741 0.000 0.000 0.268 
0.123 0.756 0.729 0.743 0.000 0.000 0.271 
0.129 0.760 0.728 0.744 0.000 0.000 0.272 
0.131 0.762 0.727 0.744 0.000 0.000 0.273 
0.135 0.763 0.726 0.744 0.000 0.000 0.274 
0.141 0.767 0.725 0.745 0.000 0.000 0.275 
0.144 0.768 0.725 0.746 0.000 0.000 0.275 
0.145 0.768 0.725 0.746 0.000 0.000 0.275 
0.146 0.769 0.724 0.746 0.000 0.000 0.276 
0.147 0.769 0.724 0.746 0.000 0.000 0.276 
0.152 0.772 0.723 0.747 0.000 0.000 0.277 
0.154 0.772 0.723 0.747 0.000 0.000 0.277 
0.162 0.777 0.721 0.748 0.000 0.000 0.279 
0.163 0.777 0.721 0.748 0.000 0.000 0.279 
0.168 0.779 0.720 0.748 0.000 0.000 0.280 
0.168 0.780 0.720 0.749 0.000 0.000 0.280 
0.172 0.781 0.719 0.749 0.000 0.000 0.281 
0.174 0.782 0.718 0.749 0.000 0.000 0.282 
0.175 0.783 0.718 0.749 0.000 0.000 0.282 
0.184 0.786 0.716 0.749 0.000 0.000 0.284 
0.186 0.786 0.715 0.749 0.000 0.000 0.285 
0.192 0.788 0.714 0.749 0.000 0.000 0.286 
0.193 0.788 0.714 0.750 0.000 0.000 0.286 
0.196 0.789 0.714 0.750 0.000 0.000 0.286 
0.214 0.796 0.710 0.751 0.000 0.000 0.290 
0.221 0.797 0.709 0.751 0.000 0.000 0.291 
0.225 0.798 0.709 0.751 0.000 0.000 0.291 
0.233 0.801 0.708 0.751 0.000 0.000 0.292 
0.242 0.803 0.706 0.752 0.000 0.000 0.294 
0.247 0.804 0.706 0.752 0.000 0.000 0.294 
0.248 0.804 0.705 0.752 0.000 0.000 0.295 
0.250 0.805 0.705 0.752 0.000 0.000 0.295 
0.251 0.805 0.705 0.752 0.000 0.000 0.295 
0.252 0.805 0.705 0.752 0.000 0.000 0.295 
0.262 0.808 0.703 0.752 0.000 0.000 0.297 
0.265 0.810 0.703 0.752 0.000 0.000 0.297 
0.266 0.810 0.703 0.752 0.000 0.000 0.297 
0.269 0.810 0.702 0.753 0.000 0.000 0.298 
0.270 0.811 0.702 0.753 0.000 0.000 0.298 
0.271 0.811 0.702 0.752 0.000 0.000 0.298 
0.280 0.813 0.701 0.753 0.000 0.000 0.299 
0.295 0.817 0.699 0.753 0.000 0.000 0.301 
0.296 0.817 0.699 0.753 0.000 0.000 0.301 
0.297 0.817 0.699 0.753 0.000 0.000 0.301 
0.315 0.821 0.695 0.753 0.000 0.000 0.305 
0.318 0.821 0.694 0.752 0.000 0.000 0.306 
0.332 0.825 0.693 0.753 0.000 0.000 0.307 
0.335 0.826 0.692 0.753 0.000 0.000 0.308 
0.338 0.826 0.691 0.753 0.000 0.000 0.309 
0.339 0.826 0.691 0.753 0.000 0.000 0.309 
0.340 0.826 0.691 0.752 0.000 0.000 0.309 
0.342 0.827 0.690 0.752 0.000 0.000 0.310 
0.343 0.827 0.690 0.753 0.000 0.000 0.310 
0.349 0.828 0.690 0.753 0.000 0.000 0.310 
0.350 0.828 0.689 0.752 0.000 0.000 0.311 
0.352 0.828 0.689 0.752 0.000 0.000 0.311 
0.354 0.829 0.689 0.752 0.000 0.000 0.311 
0.357 0.829 0.689 0.752 0.000 0.000 0.311 
0.359 0.830 0.688 0.752 0.000 0.000 0.312 
0.370 0.832 0.687 0.753 0.000 0.000 0.313 
0.380 0.834 0.686 0.753 0.000 0.000 0.314 
0.390 0.836 0.684 0.753 0.000 0.000 0.316 
0.402 0.838 0.682 0.752 0.000 0.000 0.318 
0.411 0.839 0.682 0.752 0.000 0.000 0.318 
0.413 0.840 0.682 0.752 0.000 0.000 0.318 
